order_item_id,order_id,item_name,item_price,quantity
1,1,Cake,86,1
2,1,Burger,217,2
3,1,Rolls,219,3
4,2,Dosa,263,2
5,2,Cake,225,1
6,3,Rolls,257,3
7,4,Ice Cream,206,1
8,4,Sandwich,269,2
9,4,Pizza,272,3
10,5,Pasta,339,3
11,5,Cake,94,1
12,6,Burger,330,3
13,7,Ice Cream,293,2
14,7,Sandwich,114,1
15,8,Dosa,299,2
16,8,Cake,365,1
17,8,Biryani,354,2
18,9,Pizza,189,1
19,10,Rolls,340,3
20,10,Rolls,198,2
21,10,Burger,122,2
22,11,Pizza,375,3
23,11,Dosa,275,3
24,12,Rolls,243,2
25,13,Ice Cream,204,1
26,13,Ice Cream,368,3
27,14,Dosa,389,1
28,14,Pasta,140,1
29,14,Fried Rice,249,1
30,15,Cake,353,1
31,15,Cake,310,1
32,16,Ice Cream,127,3
33,17,Rolls,252,2
34,17,Ice Cream,224,2
35,17,Burger,112,1
36,18,Pasta,205,1
37,18,Cake,208,3
38,19,Ice Cream,208,3
39,19,Burger,154,2
40,20,Burger,316,3
41,20,Pizza,200,3
42,20,Biryani,329,3
43,21,Ice Cream,151,2
44,21,Biryani,131,1
45,21,Ice Cream,234,1
46,22,Pizza,105,3
47,22,Sandwich,288,2
48,22,Pizza,300,2
49,23,Fried Rice,332,2
50,23,Cake,344,2
51,24,Ice Cream,272,1
52,24,Biryani,274,3
53,24,Dosa,100,2
54,25,Dosa,136,3
55,25,Fried Rice,81,2
56,26,Fried Rice,168,3
57,27,Cake,153,1
58,27,Sandwich,315,1
59,27,Sandwich,296,3
60,28,Rolls,363,2
61,28,Rolls,267,2
62,28,Pizza,359,2
63,29,Pasta,312,3
64,29,Fried Rice,304,1
65,30,Pasta,197,1
66,31,Cake,360,2
67,31,Biryani,211,2
68,31,Rolls,366,3
69,32,Fried Rice,339,3
70,32,Ice Cream,373,1
71,33,Burger,239,1
72,33,Dosa,194,1
73,34,Pizza,386,3
74,34,Fried Rice,126,2
75,35,Sandwich,131,1
76,36,Ice Cream,185,2
77,36,Biryani,288,3
78,36,Cake,301,3
79,37,Biryani,206,2
80,37,Fried Rice,205,2
81,37,Fried Rice,275,2
82,38,Biryani,170,2
83,38,Rolls,94,3
84,38,Rolls,261,3
85,39,Pizza,141,2
86,39,Rolls,353,3
87,40,Fried Rice,150,1
88,41,Biryani,103,2
89,41,Pasta,213,2
90,42,Burger,281,2
91,42,Dosa,240,3
92,43,Ice Cream,184,2
93,43,Ice Cream,164,1
94,44,Pasta,92,2
95,44,Burger,370,3
96,45,Pizza,92,2
97,46,Dosa,206,1
98,47,Pasta,301,3
99,47,Fried Rice,390,3
100,47,Pasta,200,2
101,48,Biryani,178,3
102,48,Dosa,314,2
103,48,Ice Cream,358,1
104,49,Pizza,355,3
105,50,Fried Rice,147,1
106,50,Dosa,381,2
107,51,Biryani,184,2
108,52,Burger,385,1
109,52,Rolls,346,3
110,52,Fried Rice,262,3
111,53,Biryani,233,3
112,53,Burger,368,2
113,53,Ice Cream,357,3
114,54,Burger,289,1
115,54,Rolls,270,1
116,54,Pizza,120,3
117,55,Burger,367,1
118,56,Fried Rice,271,2
119,57,Pizza,256,3
120,57,Dosa,110,1
121,58,Ice Cream,153,3
122,58,Fried Rice,190,2
123,58,Rolls,173,1
124,59,Pizza,376,1
125,60,Dosa,341,2
126,61,Burger,162,3
127,61,Pizza,244,3
128,62,Rolls,148,1
129,63,Cake,214,2
130,64,Biryani,391,3
131,65,Fried Rice,170,1
132,66,Pasta,352,1
133,66,Cake,81,3
134,67,Sandwich,150,2
135,67,Dosa,314,3
136,68,Pizza,198,1
137,68,Rolls,124,1
138,68,Cake,244,3
139,69,Dosa,124,3
140,69,Ice Cream,304,2
141,69,Pasta,366,3
142,70,Dosa,89,1
143,70,Dosa,87,2
144,70,Biryani,313,1
145,71,Ice Cream,91,2
146,71,Burger,271,1
147,72,Pasta,352,3
148,72,Pizza,81,3
149,73,Cake,232,1
150,73,Ice Cream,272,3
151,74,Fried Rice,299,1
152,75,Sandwich,387,2
153,75,Pizza,213,2
154,76,Pizza,271,3
155,77,Sandwich,114,2
156,77,Biryani,96,2
157,77,Biryani,167,2
158,78,Fried Rice,191,1
159,78,Cake,131,1
160,78,Dosa,399,1
161,79,Ice Cream,352,2
162,80,Sandwich,309,3
163,81,Dosa,345,3
164,81,Pasta,104,1
165,81,Ice Cream,144,3
166,82,Sandwich,390,1
167,82,Biryani,314,1
168,82,Biryani,139,2
169,83,Pizza,93,1
170,83,Sandwich,252,2
171,83,Cake,323,2
172,84,Pasta,350,2
173,85,Dosa,88,2
174,86,Ice Cream,104,3
175,86,Burger,170,3
176,87,Dosa,304,1
177,88,Dosa,375,3
178,89,Biryani,140,2
179,89,Sandwich,279,3
180,90,Rolls,353,1
181,90,Pizza,102,2
182,90,Sandwich,309,2
183,91,Burger,229,3
184,91,Rolls,245,1
185,92,Dosa,235,3
186,92,Burger,352,3
187,93,Sandwich,266,3
188,93,Dosa,337,3
189,94,Ice Cream,286,1
190,94,Dosa,326,2
191,94,Ice Cream,257,3
192,95,Fried Rice,156,2
193,95,Pizza,159,2
194,96,Fried Rice,200,1
195,96,Ice Cream,233,2
196,96,Pizza,251,3
197,97,Rolls,91,1
198,97,Fried Rice,318,1
199,97,Ice Cream,379,1
200,98,Ice Cream,208,1
