order_id,customer_id,restaurant_id,order_timestamp,order_value,discount_amount,payment_method,delivery_partner_id,order_status
1,308,50,2023-01-13 15:47,654.84,19.83,Wallet,135,Cancelled
2,977,54,2023-09-20 17:5,352.08,47.61,UPI,132,Cancelled
3,1129,46,2023-11-16 16:49,326.36,57.18,Cash,62,Cancelled
4,700,8,2023-01-30 15:24,759.23,57.1,UPI,85,Delivered
5,83,24,2023-06-05 15:19,129.14,53.59,UPI,65,Delivered
6,252,20,2023-07-12 19:2,637.1,7.31,Cash,52,Delivered
7,796,54,2023-06-17 18:40,438.17,69.6,Debit Card,3,Delivered
8,897,14,2023-08-27 19:33,761.12,125.43,Credit Card,77,Cancelled
9,210,5,2023-09-01 14:30,375.43,27.05,Cash,135,Cancelled
10,816,41,2023-03-18 20:0,595.63,21.85,Credit Card,70,Delivered
11,609,40,2023-03-03 19:17,148.95,70.78,Wallet,70,Delivered
12,447,34,2023-02-17 18:0,750.14,55.59,UPI,96,Delivered
13,460,60,2023-08-23 18:22,341.18,84.19,Wallet,16,Delivered
14,968,16,2023-04-17 22:57,466.8,142.06,UPI,136,Delivered
15,472,45,2023-05-10 15:39,196.94,114.13,Debit Card,149,Delivered
16,370,7,2023-12-04 14:28,761.89,103.06,Cash,121,Returned
17,900,16,2023-07-22 15:2,571.08,62.39,Debit Card,11,Delivered
18,923,7,2023-01-14 21:1,137.76,43.1,UPI,50,Delivered
19,137,27,2023-12-17 20:21,208.64,81.04,Wallet,87,Delivered
20,367,14,2023-07-14 11:30,379.88,132.82,UPI,6,Delivered
21,912,14,2023-06-10 17:0,251.74,131.51,Debit Card,110,Delivered
22,184,44,2023-01-15 14:26,313.24,66.83,Debit Card,143,Delivered
23,472,33,2023-01-27 21:11,798.24,36.93,Wallet,139,Delivered
24,654,33,2023-03-08 16:1,561.05,33.8,Wallet,4,Cancelled
25,749,44,2023-05-15 11:31,745.55,5.1,Debit Card,138,Delivered
26,537,20,2023-02-08 20:42,405.06,126.4,UPI,121,Cancelled
27,802,53,2023-07-25 12:45,597.2,39.73,UPI,140,Delivered
